"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.96719340406015e-54,0.808656930532275,0.394,0.19,1.21700909475807e-49,"0","BCL2A1"
8.34638607403898e-54,0.955486228827403,0.334,0.146,1.70224543980025e-49,"0","CPVL"
1.24649122775493e-51,1.19880643938632,0.317,0.144,2.54221885900617e-47,"0","HEXA"
1.59056084945335e-50,0.871465468125607,0.453,0.251,3.24394885246012e-46,"0","GRB2"
2.97565728867712e-50,0.627746747541827,0.757,0.554,6.068853040257e-46,"0","ANXA2"
5.29957831595536e-50,1.25316337240143,0.253,0.101,1.0808489975391e-45,"0","ASAP1"
5.88127093828402e-50,1.15588358211789,0.296,0.129,1.19948520786303e-45,"0","NCF2"
8.0487135653815e-50,0.873786670747192,0.448,0.245,1.64153513165956e-45,"0","QKI"
2.09167230521934e-49,1.04719544477773,0.35,0.172,4.26596566649484e-45,"0","ATP6V1A"
2.50215254475537e-49,1.16674009319357,0.254,0.101,5.10314011502858e-45,"0","ITGAM"
5.60983716407172e-49,0.875341077136493,0.462,0.262,1.14412628961243e-44,"0","KLF4"
7.76805441219124e-49,1.07202865049233,0.259,0.103,1.5842946973664e-44,"0","TMEM176A"
1.03562106484271e-48,0.330272947475868,0.726,0.442,2.1121491617467e-44,"0","RGS1"
2.14176384459919e-48,0.254766737782555,0.992,0.953,4.36812736106005e-44,"0","TMSB10"
7.70175287061014e-48,1.00273433654179,0.354,0.179,1.57077249796094e-43,"0","ADAM10"
1.48855955614485e-47,0.995072779957221,0.409,0.225,3.03591721475741e-43,"0","CXCL8"
3.66697504733655e-46,1.09881024627093,0.323,0.158,7.4787956090429e-42,"0","ABL2"
1.64235525136295e-45,1.07704384598232,0.403,0.229,3.34958353515474e-41,"0","ALCAM"
1.67489153058536e-45,1.36231626358942,0.254,0.108,3.41594127662884e-41,"0","AKR1B1"
2.52328666728021e-45,1.05614733296174,0.361,0.19,5.14624315791799e-41,"0","CXCL3"
3.00015739434586e-45,1.09755948620956,0.285,0.128,6.11882100576839e-41,"0","LRP1"
3.5615061136983e-44,0.979657752334414,0.403,0.224,7.26369171888768e-40,"0","FCGR2A"
3.65008665739119e-44,1.16040441622557,0.283,0.13,7.44435173774933e-40,"0","RHOQ"
5.43342092612352e-44,1.00790164822348,0.263,0.112,1.10814619788289e-39,"0","FERMT3"
7.61019194423738e-44,0.844720910869888,0.325,0.155,1.55209864702721e-39,"0","WIPF1"
7.96981392530115e-44,0.468170890124346,0.833,0.659,1.62544355006517e-39,"0","OAZ1"
1.7945776486196e-43,1.16675027733973,0.25,0.107,3.66004111435967e-39,"0","UBE2D1"
4.3846847946771e-43,0.9999177866538,0.326,0.162,8.94256463874394e-39,"0","CORO1C"
5.33583341883998e-43,0.962618255036013,0.359,0.19,1.08824322577241e-38,"0","CALM3"
5.6287464247754e-43,0.775633882038567,0.516,0.324,1.14798283333294e-38,"0","CD164"
1.89236181107388e-42,0.891846956443013,0.303,0.142,3.85947191368519e-38,"0","TCIRG1"
2.08603948657443e-42,0.919878240756549,0.33,0.169,4.25447753286854e-38,"0","ELL2"
2.20068669857911e-42,0.994468274993811,0.364,0.196,4.4883005217521e-38,"0","M6PR"
2.22261939321773e-42,1.17655734539002,0.257,0.112,4.53303225246757e-38,"0","RNASE6"
3.5221437160761e-42,0.988775368535031,0.334,0.174,7.1834121089372e-38,"0","SCARB2"
5.09434969746748e-42,0.587383247967718,0.47,0.266,1.03899262079849e-37,"0","RGS2"
6.44235408048543e-42,0.769380016666863,0.403,0.218,1.313918114715e-37,"0","CLEC7A"
1.95318799033381e-41,0.625506186362879,0.365,0.189,3.98352690628581e-37,"0","CCL4"
1.06121510765796e-40,0.465762999988476,0.353,0.171,2.16434821206841e-36,"0","MARCO"
1.56713101247285e-40,0.897317566404647,0.302,0.147,3.19616369993838e-36,"0","ACSL1"
3.9651391097549e-40,0.515565127274419,0.467,0.263,8.08690121434513e-36,"0","ZNF331"
5.93202160129569e-40,0.250182979244097,0.997,0.974,1.20983580558426e-35,"0","TMSB4X"
2.59325868107455e-39,0.724470943735334,0.349,0.178,5.28895108005155e-35,"0","CD37"
3.08971985127941e-39,0.57274963410089,0.601,0.398,6.30148363668436e-35,"0","NR4A2"
3.48144530389487e-39,1.05001258134538,0.522,0.363,7.10040769729358e-35,"0","IFI6"
4.30895871361277e-39,0.542605039733866,0.589,0.377,8.78812129641324e-35,"0","GNAI2"
6.61938883156649e-39,0.676049743852553,0.463,0.277,1.35002435219799e-34,"0","MOB1A"
1.0363433731353e-38,1.11045742257598,0.259,0.119,2.11362230950944e-34,"0","LAIR1"
1.24373402454236e-38,0.891795403647829,0.393,0.226,2.53659554305414e-34,"0","ATP6V0D1"
2.63743010411939e-38,0.623817126838551,0.562,0.368,5.3790386973515e-34,"0","RTN4"
4.59950282830527e-38,0.741174495144704,0.481,0.304,9.3806860183286e-34,"0","STAT1"
7.49171927351518e-38,0.857389010327661,0.315,0.159,1.52793614583342e-33,"0","SPI1"
1.22038296998687e-37,1.04875197689832,0.251,0.116,2.48897106728822e-33,"0","MYO9B"
1.24420236386924e-37,1.09372248382899,0.263,0.124,2.53755072111132e-33,"0","PAPSS1"
1.68070747774139e-37,0.838886007680755,0.339,0.181,3.42780290085356e-33,"0","SNX6"
2.62991549405245e-37,0.73854065638715,0.403,0.235,5.36371265011998e-33,"0","LTA4H"
3.48711430648605e-37,0.84614644398313,0.29,0.141,7.1119696280783e-33,"0","ARRB2"
6.55250051842702e-37,0.862987065213468,0.371,0.211,1.33638248073319e-32,"0","VDAC1"
1.66542255834232e-36,0.909430538340832,0.264,0.123,3.39662930773916e-32,"0","CSF1R"
1.15974642719083e-35,0.568671893008851,0.664,0.497,2.36530283825571e-31,"0","RHOA"
1.98927773135155e-35,1.09391400418098,0.283,0.146,4.0571319330915e-31,"0","SMS"
2.38054153634017e-35,0.669411523713718,0.416,0.248,4.85511446336577e-31,"0","CHMP1B"
7.82479287665325e-35,0.501126313458894,0.752,0.572,1.59586650719343e-30,"0","TMBIM6"
8.32053106425717e-35,0.790501193268577,0.336,0.18,1.69697231055525e-30,"0","UPP1"
1.04820284286505e-34,0.357725440941651,0.838,0.674,2.13780969802326e-30,"0","CFL1"
1.10774597967219e-34,0.467741022189719,0.739,0.56,2.25924792554143e-30,"0","RAC1"
1.21228877503916e-34,0.627200600150041,0.459,0.282,2.47246295669236e-30,"0","SNX3"
1.78524782855612e-34,0.583302280775568,0.644,0.456,3.64101294634022e-30,"0","RHOB"
2.33716873929928e-34,0.45180138717854,0.796,0.631,4.76665564380087e-30,"0","CALM2"
3.36031521232067e-34,0.889977845688189,0.306,0.16,6.85336287552801e-30,"0","SLC16A3"
4.1880819386854e-34,1.15179499194733,0.259,0.129,8.54159311394888e-30,"0","FDX1"
7.63355944934711e-34,0.691460110714185,0.412,0.246,1.55686444969434e-29,"0","CAPZA2"
1.09043232950943e-33,0.598600364189216,0.607,0.44,2.22393673603447e-29,"0","CALR"
1.64656083202064e-33,0.527981842438509,0.637,0.453,3.3581608169061e-29,"0","ACTR2"
7.18117362448628e-33,0.89542237872515,0.31,0.17,1.46460036071398e-28,"0","SPPL2A"
1.99567198369165e-32,0.727128523848241,0.342,0.192,4.07017301073913e-28,"0","IFNGR1"
2.9156932367818e-32,0.728814542677823,0.415,0.258,5.94655635641649e-28,"0","IER3"
3.30638850703358e-32,0.419474247977937,0.42,0.24,6.74337936009499e-28,"0","MNDA"
6.01615898485792e-32,0.35576319011136,0.928,0.774,1.22699562496177e-27,"0","DUSP1"
1.4642028732291e-31,0.532069062784262,0.646,0.477,2.98624175995074e-27,"0","ATP6V0E1"
1.78272805247068e-31,0.384651348674609,0.66,0.478,3.63587386301394e-27,"0","NFKBIA"
2.03674126128329e-31,0.532489349603402,0.58,0.402,4.15393380238727e-27,"0","CAP1"
2.24534891313721e-31,0.828062542168569,0.272,0.138,4.57938910834333e-27,"0","NCKAP1L"
3.50449916951607e-31,0.757932292037056,0.382,0.232,7.14742605622802e-27,"0","RAB7A"
1.6203858806716e-30,0.692305475070789,0.348,0.197,3.30477700362973e-26,"0","RNASET2"
5.22842676193556e-30,0.587130619408021,0.41,0.249,1.06633763809676e-25,"0","RASGEF1B"
5.39597988645224e-30,0.368028981285676,0.736,0.558,1.10051009784193e-25,"0","HLA-E"
2.09280407526284e-29,0.629631347408752,0.417,0.262,4.26827391149856e-25,"0","TGOLN2"
